Player Name,Nationality,Club,Yellow Cards,Red Cards,Total Cards,Player Link
Ashley Young,England,Everton,84,0,84,www.premierleague.com/players/3062/player/overview
James Milner,England,Brighton & Hove Albion,75,3,78,www.premierleague.com/players/2100/player/overview
Luke Shaw,England,Manchester United,59,0,59,www.premierleague.com/players/4608/player/overview
James Tarkowski,England,Everton,58,0,58,www.premierleague.com/players/8143/player/overview
Craig Dawson,England,Wolverhampton Wanderers,52,0,52,www.premierleague.com/players/4198/player/overview
Kyle Walker,England,Manchester City,52,0,52,www.premierleague.com/players/3955/player/overview
Harry Maguire,England,Manchester United,51,0,51,www.premierleague.com/players/9566/player/overview
Jonjo Shelvey,England,Ã‡aykur Rizespor,46,5,51,www.premierleague.com/players/4135/player/overview
Joel Ward,England,Crystal Palace,50,0,50,www.premierleague.com/players/3929/player/overview
Adam Smith,England,Bournemouth,46,0,46,www.premierleague.com/players/3512/player/overview
